id,U[m/s],SigmaU[m/s],Alpha,Hs[m],Tp[s],Density[kg/m3],Yaw[deg],Ch 8 Electrical power [W] Mean,Ch 17 Tower base moment Mx[kNm] SeqM3,Ch 18 Tower base moment My[kNm] SeqM3,Ch 19 Tower base moment Mz[kNm] SeqM3,Ch 23 Tower top moment Mx[kNm] SeqM3,Ch 24 Tower top moment My[kNm] SeqM3,Ch 25 Tower top moment Mz[kNm] SeqM3,Ch 27 Blade1 root moment Mx[kNm] SeqM10,Ch 28 Blade1 root moment My[kNm] SeqM10,Ch 29 Blade1 root moment Mz[kNm] SeqM10,Ch 30 Blade2 root moment Mx[kNm] SeqM10,Ch 31 Blade2 root moment My[kNm] SeqM10,Ch 32 Blade2 root moment Mz[kNm] SeqM10,Ch 33 Blade3 root moment Mx[kNm] SeqM10,Ch 34 Blade3 root moment My[kNm] SeqM10,Ch 35 Blade3 root moment Mz[kNm] SeqM10
4731,16.34366308,2.106294565,0.121449147,4.364729684,8.216434268,1.352481246,-5.455932617,1.50E+07,2.20E+05,1.27E+05,1.08E+05,1.23E+05,1.50E+04,1.04E+05,5.24E+04,6.22E+04,8.50E+02,5.29E+04,6.25E+04,8.70E+02,5.33E+04,6.30E+04,8.22E+02
4732,7.150483559,1.304382778,0.076659761,1.172325974,5.963787893,1.070193887,-3.691226959,4.47E+06,1.28E+05,4.44E+04,4.31E+04,4.88E+04,4.93E+03,4.22E+04,1.58E+04,5.51E+04,6.14E+02,2.02E+04,5.50E+04,6.22E+02,2.03E+04,5.51E+04,6.10E+02
4733,13.63747443,2.229258744,0.175385762,2.264028469,6.924205085,1.154034257,-1.926520348,1.50E+07,2.19E+05,1.02E+05,1.04E+05,1.15E+05,1.45E+04,1.01E+05,4.45E+04,6.13E+04,1.04E+03,5.03E+04,6.10E+04,1.04E+03,4.95E+04,6.03E+04,1.02E+03
4734,10.07315726,1.296769064,0.229905462,2.263791473,7.95802941,1.174202561,-0.16181469,1.18E+07,1.09E+05,4.52E+04,5.28E+04,5.98E+04,6.79E+03,5.13E+04,2.72E+04,5.74E+04,1.03E+03,2.91E+04,5.73E+04,1.04E+03,2.79E+04,5.73E+04,1.04E+03
4735,23.45963133,2.934046464,0.138695718,3.920810654,8.198690443,1.188345194,1.602891922,1.50E+07,2.74E+05,2.39E+05,1.56E+05,1.69E+05,2.17E+04,1.51E+05,6.40E+04,6.73E+04,1.09E+03,6.50E+04,6.62E+04,1.09E+03,6.18E+04,6.82E+04,1.09E+03
4736,4.078366398,1.059576711,-0.081792706,2.299444885,10.01852646,1.20001924,3.36759758,8.85E+05,1.28E+05,3.73E+04,4.54E+04,4.50E+04,4.74E+03,4.48E+04,1.71E+04,5.36E+04,4.31E+02,1.75E+04,5.37E+04,4.27E+02,1.71E+04,5.37E+04,4.32E+02
4737,10.2174611,1.415830358,0.120423367,3.288179821,10.4829092,1.210459232,5.132303238,1.29E+07,1.29E+05,5.85E+04,7.94E+04,8.19E+04,1.16E+04,7.71E+04,2.72E+04,5.86E+04,1.13E+03,2.74E+04,5.88E+04,1.14E+03,3.21E+04,5.88E+04,1.14E+03
4738,7.286513498,1.282340147,0.165095226,3.703227966,12.00400836,1.220295548,6.897008896,5.16E+06,1.37E+05,4.51E+04,5.11E+04,5.75E+04,5.72E+03,5.01E+04,1.87E+04,5.58E+04,7.10E+02,1.84E+04,5.54E+04,7.03E+02,1.88E+04,5.53E+04,7.06E+02
4739,13.84676115,2.173478792,0.242789011,1.867922047,8.542449446,1.229951382,8.661714554,1.50E+07,2.07E+05,1.06E+05,1.08E+05,1.13E+05,1.53E+04,1.04E+05,5.04E+04,6.11E+04,1.01E+03,5.40E+04,6.09E+04,1.04E+03,5.41E+04,6.12E+04,1.01E+03
4740,5.793242629,1.016075941,-0.107999945,1.550612009,11.18190434,1.239797354,10.42642021,2.89E+06,1.14E+05,4.05E+04,4.06E+04,4.19E+04,4.76E+03,4.00E+04,1.92E+04,5.37E+04,5.61E+02,2.11E+04,5.39E+04,5.58E+02,2.04E+04,5.39E+04,5.61E+02
4741,11.8622871,1.822306915,0.098512906,2.489065118,5.71804351,1.250259638,12.19112587,1.50E+07,2.34E+05,1.15E+05,1.04E+05,1.07E+05,1.45E+04,1.00E+05,4.41E+04,5.89E+04,1.15E+03,4.24E+04,5.91E+04,1.16E+03,4.31E+04,5.91E+04,1.16E+03
4742,8.72791524,1.778138286,0.118762697,2.485201223,7.168520257,1.261977196,13.95583153,8.40E+06,1.60E+05,6.80E+04,8.64E+04,8.72E+04,1.10E+04,8.44E+04,3.27E+04,5.83E+04,9.95E+02,4.10E+04,5.81E+04,1.00E+03,2.90E+04,5.78E+04,1.00E+03
4743,16.68015627,2.030504645,0.201208948,3.600737057,7.862768585,1.276211023,-14.17565632,1.50E+07,1.91E+05,1.09E+05,9.52E+04,1.09E+05,1.35E+04,9.20E+04,5.53E+04,6.16E+04,8.73E+02,5.63E+04,6.10E+04,8.67E+02,5.66E+04,6.12E+04,8.61E+02
4744,4.981569964,1.002061095,0.395569755,2.859051671,9.273203396,1.296645164,-12.41095066,1.96E+06,1.20E+05,3.18E+04,3.73E+04,4.36E+04,4.43E+03,3.68E+04,2.31E+04,5.43E+04,5.02E+02,2.25E+04,5.43E+04,4.94E+02,2.10E+04,5.44E+04,5.01E+02
4745,11.01198491,1.819043709,0.045345956,4.236297737,10.2327295,1.101872206,-10.64624405,1.33E+07,1.54E+05,6.63E+04,8.46E+04,9.17E+04,1.19E+04,8.20E+04,3.77E+04,5.81E+04,1.13E+03,3.59E+04,5.83E+04,1.13E+03,3.55E+04,5.83E+04,1.14E+03
4746,8.007006278,1.207837088,0.06210132,1.40601158,7.37943465,1.15600884,-8.881538391,6.32E+06,1.22E+05,4.54E+04,4.74E+04,5.19E+04,5.56E+03,4.66E+04,1.65E+04,5.58E+04,7.58E+02,1.69E+04,5.58E+04,7.71E+02,2.58E+04,5.57E+04,7.69E+02
4747,15.0919769,2.125636572,0.166931676,2.518168085,8.107564802,1.175429702,-7.11683321,1.50E+07,2.04E+05,1.20E+05,1.00E+05,1.18E+05,1.40E+04,9.67E+04,4.94E+04,6.06E+04,9.10E+02,5.16E+04,6.09E+04,9.06E+02,5.39E+04,6.05E+04,9.25E+02
4748,6.553858706,1.441982397,0.203642081,2.000701095,9.561345665,1.189308643,-5.352126122,3.68E+06,1.76E+05,5.00E+04,5.70E+04,5.87E+04,8.15E+03,5.61E+04,2.05E+04,5.43E+04,6.16E+02,2.09E+04,5.43E+04,6.27E+02,2.07E+04,5.44E+04,6.24E+02
4749,12.79387091,1.773562715,0.342974366,2.938363872,10.04837402,1.20085597,-3.587420464,1.50E+07,1.72E+05,9.28E+04,8.98E+04,9.87E+04,1.26E+04,8.69E+04,5.65E+04,6.16E+04,9.56E+02,5.61E+04,6.20E+04,9.71E+02,5.59E+04,6.14E+04,9.78E+02
4750,9.46074791,1.588186143,-0.158986728,2.933362529,11.3911409,1.211231112,-1.822714806,1.16E+07,1.34E+05,6.58E+04,7.27E+04,7.31E+04,9.90E+03,7.07E+04,3.20E+04,5.59E+04,1.09E+03,3.64E+04,5.60E+04,1.08E+03,3.17E+04,5.60E+04,1.08E+03
4751,19.05489388,2.964825888,0.128219631,4.275290465,11.93176891,1.221039891,-0.058009148,1.50E+07,2.73E+05,1.74E+05,1.47E+05,1.68E+05,2.08E+04,1.42E+05,6.24E+04,6.49E+04,9.64E+02,6.68E+04,6.33E+04,9.96E+02,6.44E+04,6.60E+04,1.03E+03
4752,4.545193657,0.690849055,-0.007372504,4.394493962,8.889048087,1.230697274,1.706699371,1.18E+06,1.03E+05,2.35E+04,2.61E+04,2.74E+04,2.85E+03,2.57E+04,1.04E+04,5.34E+04,4.37E+02,1.05E+04,5.33E+04,4.38E+02,1.06E+04,5.33E+04,4.30E+02
4753,10.60899925,1.568229663,0.145055558,0.918540711,4.350726833,1.240574002,3.471405029,1.30E+07,1.51E+05,7.30E+04,7.52E+04,8.04E+04,1.06E+04,7.30E+04,3.33E+04,5.78E+04,1.08E+03,3.26E+04,5.79E+04,1.11E+03,3.24E+04,5.77E+04,1.11E+03
4754,7.647448918,1.424244596,0.203669721,1.451144753,6.434479643,1.251105785,5.236110687,6.01E+06,1.47E+05,6.95E+04,6.57E+04,6.53E+04,7.97E+03,6.48E+04,2.63E+04,5.60E+04,7.97E+02,2.58E+04,5.62E+04,7.76E+02,2.67E+04,5.61E+04,7.82E+02
4755,14.4387979,1.840195793,0.029899883,2.513130152,7.218635589,1.262959123,7.000816345,1.50E+07,1.69E+05,1.05E+05,9.08E+04,9.78E+04,1.30E+04,8.76E+04,3.29E+04,5.94E+04,9.04E+02,3.43E+04,5.94E+04,9.07E+02,3.41E+04,5.91E+04,9.13E+02
4756,6.178246908,1.152761681,-0.039221745,2.013490126,8.428856246,1.277480602,8.765522003,3.37E+06,1.11E+05,4.42E+04,4.26E+04,4.76E+04,7.70E+03,4.19E+04,1.77E+04,5.39E+04,5.95E+02,1.91E+04,5.38E+04,5.91E+02,1.73E+04,5.38E+04,5.96E+02
4757,12.3158806,1.992239294,0.12183209,2.941337873,8.918768023,1.298780084,10.53022766,1.50E+07,2.46E+05,1.11E+05,1.08E+05,1.17E+05,1.62E+04,1.04E+05,4.76E+04,6.05E+04,1.14E+03,5.41E+04,6.02E+04,1.13E+03,5.25E+04,6.05E+04,1.15E+03
