id,U[m/s],SigmaU[m/s],Alpha,Hs[m],Tp[s],Density[kg/m3],Yaw[deg],Ch 8 Electrical power [W] Mean,Ch 17 Tower base moment Mx[kNm] SeqM3,Ch 18 Tower base moment My[kNm] SeqM3,Ch 19 Tower base moment Mz[kNm] SeqM3,Ch 23 Tower top moment Mx[kNm] SeqM3,Ch 24 Tower top moment My[kNm] SeqM3,Ch 25 Tower top moment Mz[kNm] SeqM3,Ch 27 Blade1 root moment Mx[kNm] SeqM10,Ch 28 Blade1 root moment My[kNm] SeqM10,Ch 29 Blade1 root moment Mz[kNm] SeqM10,Ch 30 Blade2 root moment Mx[kNm] SeqM10,Ch 31 Blade2 root moment My[kNm] SeqM10,Ch 32 Blade2 root moment Mz[kNm] SeqM10,Ch 33 Blade3 root moment Mx[kNm] SeqM10,Ch 34 Blade3 root moment My[kNm] SeqM10,Ch 35 Blade3 root moment Mz[kNm] SeqM10
1,10.15567626,1.505138515,0.033114874,1.616861694,5.556742009,1.153696179,-13.23529434,1.19E+07,1.31E+05,6.98E+04,6.99E+04,7.96E+04,9.19E+03,6.78E+04,2.39E+04,5.64E+04,1.11E+03,2.39E+04,5.66E+04,1.10E+03,2.27E+04,5.63E+04,1.12E+03
2,7.22847387,1.362112203,0.051017969,1.749554289,6.839776801,1.17399621,-11.47058868,4.70E+06,1.38E+05,6.08E+04,4.69E+04,5.61E+04,5.93E+03,4.58E+04,2.19E+04,5.50E+04,6.64E+02,1.98E+04,5.49E+04,6.59E+02,1.95E+04,5.50E+04,6.70E+02
3,13.75660964,1.743080087,0.161110104,2.731946939,7.52585458,1.188184261,-9.705882072,1.50E+07,1.76E+05,1.22E+05,8.91E+04,1.09E+05,1.29E+04,8.63E+04,4.54E+04,6.06E+04,9.84E+02,4.16E+04,6.01E+04,9.53E+02,4.38E+04,6.01E+04,9.62E+02
4,5.730510934,1.090665561,0.212497528,2.235430922,8.692331325,1.199879885,-7.941176414,2.57E+06,1.26E+05,3.42E+04,4.06E+04,4.56E+04,4.52E+03,3.95E+04,1.98E+04,5.49E+04,5.26E+02,1.99E+04,5.47E+04,5.24E+02,1.99E+04,5.49E+04,5.28E+02
5,11.7916081,1.914334297,-0.019338671,3.172059428,9.188289827,1.210330963,-6.176469803,1.50E+07,2.27E+05,1.11E+05,9.92E+04,1.11E+05,1.39E+04,9.59E+04,3.90E+04,5.82E+04,1.13E+03,4.82E+04,5.89E+04,1.15E+03,3.71E+04,5.84E+04,1.14E+03
6,8.669898963,1.288753952,0.020601365,3.290142793,10.28167987,1.220172048,-4.411764145,8.00E+06,1.16E+05,5.15E+04,4.83E+04,5.38E+04,6.67E+03,4.81E+04,1.86E+04,5.50E+04,8.90E+02,1.78E+04,5.47E+04,8.90E+02,1.76E+04,5.51E+04,8.97E+02
7,16.53367982,2.287010085,0.149744145,1.380125992,5.781503732,1.229828,-2.647058487,1.50E+07,2.08E+05,1.55E+05,1.08E+05,1.26E+05,1.58E+04,1.04E+05,5.25E+04,6.23E+04,8.57E+02,5.13E+04,6.25E+04,8.68E+02,5.12E+04,6.24E+04,8.80E+02
8,4.913351638,1.291683245,0.125048242,1.199135647,8.97144407,1.239669085,-0.882352829,1.66E+06,1.25E+05,4.13E+04,4.78E+04,4.68E+04,5.70E+03,4.70E+04,1.91E+04,5.39E+04,5.02E+02,2.25E+04,5.39E+04,5.00E+02,2.29E+04,5.39E+04,4.96E+02
9,10.94658088,1.357117046,0.21343284,2.167187964,9.751917225,1.250120163,0.882353783,1.45E+07,1.51E+05,6.78E+04,7.00E+04,7.78E+04,9.86E+03,6.67E+04,3.66E+04,6.00E+04,1.12E+03,3.69E+04,5.99E+04,1.13E+03,3.71E+04,5.99E+04,1.13E+03
10,7.949450621,1.290467439,-0.082317739,2.192755479,11.465599,1.261815786,2.647060394,7.02E+06,1.27E+05,5.16E+04,6.33E+04,6.04E+04,7.26E+03,6.19E+04,2.44E+04,5.53E+04,8.41E+02,2.58E+04,5.57E+04,8.46E+02,2.49E+04,5.58E+04,8.36E+02
11,14.98249173,2.202929042,0.111304135,3.20950583,5.789221136,1.276003838,4.411766052,1.50E+07,2.12E+05,1.08E+05,1.08E+05,1.22E+05,1.55E+04,1.04E+05,4.56E+04,6.08E+04,9.34E+02,4.76E+04,6.13E+04,9.57E+02,4.40E+04,6.11E+04,9.09E+02
12,6.494224761,1.013504669,0.068917578,2.702471811,7.677354506,1.296303868,6.17647171,3.99E+06,1.23E+05,4.50E+04,4.17E+04,4.81E+04,4.67E+03,4.10E+04,1.66E+04,5.40E+04,6.18E+02,1.67E+04,5.40E+04,6.16E+02,1.71E+04,5.41E+04,6.23E+02
13,12.71546804,1.847915949,0.17254997,3.750231926,8.558244989,1.099147677,7.941177368,1.49E+07,1.74E+05,1.05E+05,9.21E+04,1.01E+05,1.31E+04,8.91E+04,4.10E+04,5.94E+04,1.02E+03,4.24E+04,5.97E+04,1.02E+03,4.11E+04,5.96E+04,1.04E+03
14,9.401351433,1.69043865,0.234175729,1.036579731,5.5492557,1.15568912,9.705883026,9.36E+06,1.46E+05,5.66E+04,7.58E+04,8.37E+04,9.26E+03,7.52E+04,3.61E+04,5.89E+04,1.00E+03,3.54E+04,5.87E+04,9.94E+02,3.52E+04,5.88E+04,9.95E+02
15,18.80894039,2.376466997,0.107751654,2.590388302,6.804782125,1.175228477,11.47058868,1.50E+07,2.14E+05,1.65E+05,1.19E+05,1.26E+05,1.72E+04,1.15E+05,4.45E+04,6.12E+04,9.14E+02,4.52E+04,6.07E+04,8.84E+02,4.07E+04,6.17E+04,8.80E+02
16,4.472741118,1.02865356,-0.060742357,1.573478199,8.437691817,1.189149857,13.23529434,1.13E+06,1.03E+05,3.08E+04,3.90E+04,4.22E+04,4.39E+03,3.83E+04,1.59E+04,5.38E+04,4.62E+02,1.57E+04,5.38E+04,4.52E+02,1.59E+04,5.38E+04,4.51E+02
17,10.54557836,1.933733397,0.124058069,2.498484608,8.942983464,1.200717807,-14.8961935,1.26E+07,1.76E+05,7.70E+04,8.71E+04,1.07E+05,1.19E+04,8.44E+04,3.28E+04,5.65E+04,1.16E+03,3.24E+04,5.68E+04,1.16E+03,3.56E+04,5.65E+04,1.19E+03
18,7.589775686,1.063404967,0.167151574,2.513651783,10.00113611,1.211103439,-13.13148785,5.30E+06,1.39E+05,4.32E+04,3.75E+04,4.33E+04,4.51E+03,3.67E+04,2.04E+04,5.47E+04,6.94E+02,1.61E+04,5.46E+04,6.95E+02,1.66E+04,5.48E+04,7.03E+02
19,14.3403008,1.983287966,0.244331122,3.527070954,10.42881282,1.220916629,-11.36678219,1.50E+07,1.92E+05,1.38E+05,9.32E+04,1.14E+05,1.44E+04,8.97E+04,5.40E+04,6.10E+04,9.35E+02,5.35E+04,6.10E+04,9.56E+02,5.48E+04,6.13E+04,9.40E+02
20,6.117290632,1.289129632,-0.091186596,3.229640708,12.3551871,1.230573535,-9.602075577,3.08E+06,1.49E+05,4.56E+04,4.55E+04,4.67E+04,5.93E+03,4.48E+04,1.96E+04,5.38E+04,5.91E+02,1.92E+04,5.35E+04,5.97E+02,1.92E+04,5.36E+04,5.90E+02
21,12.24171603,1.64096671,0.103145014,1.419818398,8.757756484,1.240445137,-7.837369919,1.50E+07,1.99E+05,6.99E+04,8.64E+04,9.88E+04,1.21E+04,8.36E+04,4.07E+04,5.95E+04,1.07E+03,4.09E+04,5.99E+04,1.06E+03,3.43E+04,5.96E+04,1.09E+03
22,9.033532158,1.476726207,0.122395116,1.708548535,4.985779657,1.250965118,-6.072664261,9.57E+06,1.67E+05,6.02E+04,7.01E+04,7.96E+04,1.12E+04,6.82E+04,3.40E+04,5.74E+04,1.03E+03,3.46E+04,5.69E+04,1.01E+03,3.37E+04,5.72E+04,1.01E+03
23,17.53054125,2.577342984,0.204316953,2.922487429,6.369109896,1.262795448,-4.307958603,1.50E+07,2.35E+05,1.53E+05,1.22E+05,1.39E+05,1.72E+04,1.17E+05,6.80E+04,6.46E+04,9.07E+02,6.57E+04,6.53E+04,9.08E+02,6.98E+04,6.41E+04,8.92E+02
24,5.33062716,0.976856107,0.387685629,2.016856459,7.656531684,1.277267933,-2.543252945,2.23E+06,1.20E+05,3.47E+04,3.58E+04,3.80E+04,4.40E+03,3.51E+04,2.13E+04,5.47E+04,5.22E+02,2.13E+04,5.45E+04,5.22E+02,2.09E+04,5.45E+04,5.22E+02
25,11.36100579,1.779325148,-0.08617725,2.93730364,8.272388581,1.298417091,-0.778547287,1.49E+07,2.08E+05,9.42E+04,9.75E+04,1.02E+05,1.38E+04,9.44E+04,3.93E+04,5.80E+04,1.16E+03,5.30E+04,5.81E+04,1.18E+03,5.19E+04,5.81E+04,1.19E+03
26,8.309011098,1.782590626,0.000434613,2.991909221,9.26096466,1.111876726,0.986160278,7.08E+06,1.64E+05,7.26E+04,8.17E+04,8.01E+04,1.05E+04,7.99E+04,3.08E+04,5.63E+04,8.82E+02,3.04E+04,5.62E+04,8.78E+02,2.99E+04,5.61E+04,8.80E+02
27,15.70303233,1.775723025,0.139520804,4.212027995,9.816877114,1.157577753,2.750865936,1.50E+07,1.67E+05,1.17E+05,9.36E+04,9.81E+04,1.31E+04,9.06E+04,4.38E+04,6.02E+04,8.32E+02,4.35E+04,5.99E+04,8.16E+02,4.35E+04,6.03E+04,8.24E+02
28,6.863904399,1.163549051,0.121447356,1.071611711,7.332734781,1.176431179,4.515571594,4.02E+06,1.18E+05,4.74E+04,4.55E+04,4.62E+04,5.66E+03,4.47E+04,2.24E+04,5.50E+04,6.06E+02,1.96E+04,5.49E+04,6.11E+02,1.83E+04,5.49E+04,6.00E+02
29,13.21812722,2.002572699,0.205040152,2.1739333,8.30437962,1.190102458,6.280277252,1.50E+07,1.98E+05,1.23E+05,1.01E+05,1.13E+05,1.53E+04,9.79E+04,4.67E+04,6.08E+04,9.97E+02,4.66E+04,6.09E+04,9.99E+02,4.60E+04,6.10E+04,1.01E+03
30,9.774859839,1.337400141,-0.057666586,2.195043435,9.593073204,1.201548934,8.04498291,1.14E+07,1.08E+05,5.00E+04,7.29E+04,6.69E+04,1.03E+04,7.10E+04,2.45E+04,5.65E+04,1.07E+03,2.50E+04,5.64E+04,1.08E+03,2.42E+04,5.64E+04,1.07E+03
31,20.68104543,2.675328676,0.145652264,3.605269677,9.869608055,1.211872697,9.809688568,1.50E+07,2.45E+05,1.82E+05,1.40E+05,1.41E+05,1.92E+04,1.35E+05,4.80E+04,6.40E+04,8.83E+02,4.97E+04,6.39E+04,8.88E+02,5.30E+04,6.46E+04,8.94E+02
32,4.241102013,1.124747965,0.008323201,2.27389916,12.84287606,1.221660256,11.57439613,9.62E+05,1.15E+05,3.75E+04,4.48E+04,4.97E+04,4.98E+03,4.37E+04,1.71E+04,5.37E+04,4.44E+02,1.73E+04,5.38E+04,4.46E+02,1.67E+04,5.38E+04,4.45E+02
33,10.34937196,1.472559626,0.154359587,3.249120569,6.882533737,1.2313205,13.33910179,1.22E+07,1.48E+05,6.32E+04,8.18E+04,8.25E+04,1.12E+04,7.94E+04,3.04E+04,5.91E+04,1.15E+03,3.04E+04,5.91E+04,1.14E+03,3.08E+04,5.91E+04,1.13E+03
34,7.409426917,1.328962082,0.226970077,3.578347186,8.666727507,1.241224885,-14.79238796,5.07E+06,1.47E+05,5.27E+04,5.17E+04,6.11E+04,6.24E+03,5.08E+04,2.34E+04,5.49E+04,7.26E+02,2.37E+04,5.49E+04,7.28E+02,2.36E+04,5.51E+04,7.22E+02
35,14.04208762,2.264116814,0.048135603,1.808107023,5.788156225,1.251817584,-13.02768135,1.50E+07,2.31E+05,1.33E+05,1.12E+05,1.37E+05,1.64E+04,1.08E+05,4.98E+04,6.19E+04,1.02E+03,4.53E+04,6.17E+04,9.92E+02,4.69E+04,6.17E+04,1.03E+03
36,5.925316042,0.861391907,-0.025808364,1.520223366,7.300354149,1.263789773,-11.26297569,3.00E+06,1.02E+05,3.11E+04,3.25E+04,3.39E+04,3.64E+03,3.19E+04,1.43E+04,5.35E+04,5.63E+02,1.50E+04,5.36E+04,5.58E+02,1.48E+04,5.36E+04,5.61E+02
37,12.01398822,1.725826715,0.128270213,2.465695727,7.932571406,1.278566241,-9.498270035,1.49E+07,1.81E+05,7.84E+04,8.84E+04,9.82E+04,1.15E+04,8.59E+04,4.70E+04,5.93E+04,1.12E+03,3.67E+04,5.96E+04,1.11E+03,3.70E+04,5.94E+04,1.12E+03
38,8.851283349,1.563193493,0.159270087,2.460375535,8.905393385,1.300670147,-7.7335639,9.42E+06,1.70E+05,7.14E+04,7.59E+04,7.72E+04,9.78E+03,7.41E+04,3.05E+04,5.71E+04,1.02E+03,3.02E+04,5.72E+04,1.02E+03,3.01E+04,5.70E+04,1.02E+03
39,17.00622695,2.123814102,0.232855901,3.593627541,9.260645468,1.119871259,-5.968857765,1.50E+07,1.80E+05,1.22E+05,9.74E+04,1.08E+05,1.35E+04,9.43E+04,5.79E+04,6.09E+04,8.35E+02,5.67E+04,6.11E+04,8.40E+02,5.60E+04,6.10E+04,8.21E+02
40,5.124485766,1.049605724,-0.165865846,2.812999567,10.97867112,1.159374714,-4.204151154,1.97E+06,1.17E+05,3.50E+04,4.13E+04,4.23E+04,4.70E+03,4.07E+04,2.25E+04,5.31E+04,4.98E+02,2.08E+04,5.31E+04,4.95E+02,2.09E+04,5.31E+04,4.95E+02
41,11.1519558,1.885065503,0.084279117,4.061793836,11.72776603,1.177606463,-2.439445496,1.41E+07,1.93E+05,1.12E+05,9.00E+04,1.06E+05,1.35E+04,8.71E+04,3.86E+04,5.73E+04,1.14E+03,3.82E+04,5.69E+04,1.16E+03,3.79E+04,5.68E+04,1.15E+03
42,8.129154009,1.259383234,0.105041116,1.354351242,9.149363855,1.191042423,-0.674739838,6.75E+06,1.37E+05,5.46E+04,5.17E+04,6.25E+04,7.38E+03,5.05E+04,2.06E+04,5.64E+04,7.76E+02,2.11E+04,5.63E+04,7.95E+02,2.06E+04,5.63E+04,7.86E+02
43,15.33135627,2.185355406,0.191808632,2.496237412,10.3718824,1.202373505,1.08996582,1.50E+07,1.93E+05,1.12E+05,1.13E+05,1.29E+05,1.57E+04,1.10E+05,5.39E+04,6.24E+04,9.23E+02,5.38E+04,6.14E+04,9.16E+02,5.40E+04,6.19E+04,9.38E+02
44,6.679828877,1.553574787,0.297846777,1.975917576,6.016056277,1.212638736,2.854671478,4.51E+06,1.77E+05,6.31E+04,5.42E+04,6.32E+04,8.43E+03,5.31E+04,2.99E+04,5.61E+04,6.92E+02,3.24E+04,5.62E+04,6.97E+02,3.33E+04,5.63E+04,6.90E+02
45,12.96279936,1.6357904,0.063243373,2.918165635,7.14972957,1.222403288,4.619377136,1.50E+07,1.84E+05,8.35E+04,7.95E+04,8.79E+04,1.15E+04,7.67E+04,3.49E+04,5.82E+04,1.03E+03,3.42E+04,5.86E+04,1.03E+03,3.47E+04,5.82E+04,1.03E+03
46,9.587296538,1.487613648,0.07575177,2.903687677,8.169454754,1.232068777,6.384082794,1.14E+07,1.27E+05,5.49E+04,7.37E+04,7.14E+04,9.34E+03,7.25E+04,2.72E+04,5.66E+04,1.08E+03,3.08E+04,5.67E+04,1.09E+03,2.88E+04,5.67E+04,1.09E+03
47,19.63276357,2.723111529,0.182718001,4.276598473,8.649210638,1.242008567,8.148788452,1.50E+07,2.51E+05,1.57E+05,1.34E+05,1.43E+05,1.85E+04,1.29E+05,5.88E+04,6.38E+04,9.38E+02,5.68E+04,6.37E+04,9.58E+02,5.69E+04,6.35E+04,9.64E+02
48,4.696425987,0.857025511,0.204040573,3.801963413,10.83557537,1.252677917,9.91349411,1.36E+06,9.96E+04,2.76E+04,2.92E+04,3.17E+04,3.49E+03,2.83E+04,1.23E+04,5.36E+04,4.56E+02,1.28E+04,5.36E+04,4.64E+02,1.26E+04,5.36E+04,4.59E+02
49,10.74455544,1.663818562,0.29333031,0.529640413,4.327301132,1.264799714,11.67819977,1.37E+07,1.72E+05,8.31E+04,8.98E+04,9.23E+04,1.27E+04,8.70E+04,4.86E+04,6.12E+04,1.17E+03,4.72E+04,6.13E+04,1.16E+03,5.04E+04,6.09E+04,1.15E+03
50,7.76971971,1.563709602,-0.183575274,1.405663603,7.86411539,1.279901743,13.44290543,7.13E+06,1.39E+05,5.67E+04,7.10E+04,7.84E+04,8.92E+03,6.95E+04,3.08E+04,5.48E+04,8.80E+02,3.15E+04,5.43E+04,8.68E+02,3.25E+04,5.44E+04,8.72E+02
51,14.65303918,1.966325842,0.094623692,2.490753099,8.588066538,1.303088307,-14.68858147,1.50E+07,1.78E+05,9.81E+04,9.49E+04,1.13E+05,1.36E+04,9.16E+04,4.61E+04,6.12E+04,8.94E+02,4.42E+04,6.05E+04,9.09E+02,4.66E+04,6.06E+04,9.15E+02
52,6.306813446,1.250448354,0.040427297,1.989290638,10.20711643,1.125836492,-12.92387581,3.23E+06,1.36E+05,4.02E+04,4.02E+04,5.04E+04,5.08E+03,3.90E+04,1.74E+04,5.45E+04,5.57E+02,1.72E+04,5.45E+04,5.55E+02,1.84E+04,5.45E+04,5.58E+02
53,12.47533898,2.256268284,0.157736345,2.919854079,10.80032287,1.161090612,-11.15917015,1.46E+07,2.14E+05,1.16E+05,9.97E+04,1.10E+05,1.44E+04,9.63E+04,4.38E+04,5.99E+04,1.15E+03,4.28E+04,5.99E+04,1.13E+03,5.11E+04,6.00E+04,1.14E+03
54,9.216826381,1.151531972,0.205122713,2.924796618,12.71614334,1.178756118,-9.394463539,8.99E+06,1.11E+05,4.50E+04,5.37E+04,5.72E+04,7.61E+03,5.24E+04,2.36E+04,5.74E+04,9.06E+02,2.36E+04,5.75E+04,9.06E+02,2.42E+04,5.75E+04,9.11E+02
55,18.12289724,2.357131536,0.079257599,4.205651421,7.240541763,1.191970587,-7.629757881,1.50E+07,2.11E+05,1.71E+05,1.15E+05,1.25E+05,1.56E+04,1.12E+05,5.01E+04,6.26E+04,8.31E+02,5.11E+04,6.23E+04,8.96E+02,5.16E+04,6.14E+04,8.56E+02
56,5.532445342,1.196064889,-0.055988405,0.601625345,4.820260936,1.203192115,-5.86505127,2.54E+06,1.40E+05,4.13E+04,5.32E+04,5.18E+04,5.70E+03,5.25E+04,1.84E+04,5.35E+04,5.45E+02,1.88E+04,5.35E+04,5.46E+02,1.84E+04,5.37E+04,5.43E+02
57,11.57409254,1.535523834,0.117943105,1.832471102,6.361663801,1.213401914,-4.100345612,1.49E+07,1.49E+05,7.25E+04,8.17E+04,8.66E+04,1.13E+04,7.99E+04,3.34E+04,5.85E+04,1.11E+03,3.95E+04,5.85E+04,1.13E+03,3.44E+04,5.84E+04,1.14E+03
58,8.489200282,1.395173081,0.147517662,1.930609808,7.502205943,1.223145604,-2.335639954,8.01E+06,1.24E+05,5.20E+04,6.09E+04,6.64E+04,9.26E+03,5.96E+04,2.78E+04,5.70E+04,8.76E+02,2.78E+04,5.72E+04,8.89E+02,2.79E+04,5.70E+04,8.83E+02
59,16.10188567,2.386193467,0.222533664,3.018897176,8.0340993,1.232818604,-0.570934296,1.50E+07,2.23E+05,1.48E+05,1.25E+05,1.37E+05,1.73E+04,1.21E+05,6.00E+04,6.35E+04,9.00E+02,5.95E+04,6.34E+04,9.02E+02,6.25E+04,6.27E+04,8.61E+02
60,7.046707011,1.131968744,-0.101322907,2.419791664,9.278415403,1.24279654,1.19377327,5.00E+06,1.38E+05,4.73E+04,4.37E+04,4.71E+04,5.38E+03,4.31E+04,1.99E+04,5.46E+04,6.93E+02,1.85E+04,5.46E+04,6.98E+02,1.82E+04,5.45E+04,6.92E+02
61,13.48237495,1.977660692,0.101170571,3.397530812,9.718511431,1.253546476,2.958478928,1.50E+07,1.83E+05,1.09E+05,9.77E+04,1.05E+05,1.45E+04,9.40E+04,3.88E+04,6.02E+04,1.00E+03,4.15E+04,6.05E+04,9.89E+02,4.13E+04,6.04E+04,9.96E+02
62,9.964248,1.853916048,0.113306039,3.502771337,10.92551478,1.265826225,4.723184586,1.33E+07,1.62E+05,7.17E+04,9.03E+04,9.28E+04,1.27E+04,8.78E+04,3.67E+04,5.96E+04,1.18E+03,3.47E+04,5.99E+04,1.16E+03,3.96E+04,5.99E+04,1.16E+03
63,22.16806027,2.567410072,0.207819683,2.155657733,6.706947354,1.281277657,6.487890244,1.50E+07,2.33E+05,1.70E+05,1.30E+05,1.40E+05,1.79E+04,1.24E+05,5.97E+04,6.30E+04,9.33E+02,5.84E+04,6.34E+04,9.53E+02,5.73E+04,6.45E+04,9.69E+02
64,4.121843623,0.896205649,0.342100628,1.193591208,10.20860627,1.305704355,8.252595901,8.46E+05,1.16E+05,2.96E+04,3.66E+04,3.71E+04,4.21E+03,3.61E+04,1.80E+04,5.42E+04,4.07E+02,1.81E+04,5.41E+04,4.09E+02,1.88E+04,5.43E+04,4.11E+02
65,10.25222621,1.718982577,0.009675169,2.154506927,11.47805934,1.130654216,10.01730156,1.15E+07,1.40E+05,6.54E+04,8.88E+04,9.28E+04,1.15E+04,8.64E+04,3.07E+04,5.85E+04,1.12E+03,3.48E+04,5.87E+04,1.09E+03,3.51E+04,5.85E+04,1.10E+03
66,7.319038961,1.116494758,0.029312392,2.179758652,6.418249564,1.162734509,11.78200722,4.61E+06,1.33E+05,4.96E+04,4.23E+04,4.52E+04,5.47E+03,4.15E+04,1.79E+04,5.50E+04,6.45E+02,1.63E+04,5.50E+04,6.39E+02,1.76E+04,5.49E+04,6.41E+02
67,13.89785616,1.984711635,0.150094473,3.152058723,7.402827785,1.179881811,13.54671288,1.50E+07,1.88E+05,1.43E+05,1.10E+05,1.11E+05,1.56E+04,1.05E+05,3.95E+04,6.02E+04,9.98E+02,3.94E+04,5.99E+04,1.01E+03,4.34E+04,6.00E+04,9.94E+02
68,5.828292885,1.334887242,0.175395337,2.701574639,8.624301606,1.192887425,-14.58477497,2.70E+06,1.55E+05,3.91E+04,3.85E+04,5.03E+04,4.91E+03,3.78E+04,1.81E+04,5.44E+04,5.75E+02,1.95E+04,5.44E+04,5.72E+02,1.97E+04,5.47E+04,5.61E+02
69,11.90216102,1.663507666,0.257830334,3.772133774,9.32538333,1.204004884,-12.82006931,1.48E+07,1.76E+05,6.87E+04,8.13E+04,9.47E+04,1.24E+04,7.86E+04,4.16E+04,5.96E+04,1.11E+03,4.50E+04,6.00E+04,1.10E+03,4.56E+04,5.97E+04,1.09E+03
70,8.760494097,1.497662648,-0.003258034,1.140747256,6.416597711,1.214162469,-11.0553627,8.54E+06,1.30E+05,5.31E+04,7.14E+04,7.34E+04,8.59E+03,6.99E+04,2.93E+04,5.53E+04,9.65E+02,2.62E+04,5.50E+04,9.59E+02,2.80E+04,5.55E+04,9.53E+02
71,16.76426389,2.629495714,0.141244135,2.467550554,7.457028633,1.223887563,-9.290657043,1.50E+07,2.57E+05,2.46E+05,1.38E+05,1.52E+05,1.97E+04,1.34E+05,5.80E+04,6.41E+04,9.30E+02,6.19E+04,6.47E+04,9.33E+02,6.06E+04,6.54E+04,9.11E+02
72,5.019589541,0.822061664,0.092159204,1.680437484,9.100673449,1.233570218,-7.525951862,1.69E+06,8.27E+04,2.51E+04,3.04E+04,3.55E+04,3.37E+03,3.00E+04,1.43E+04,5.37E+04,4.82E+02,1.33E+04,5.38E+04,4.78E+02,1.45E+04,5.39E+04,4.82E+02
73,11.04882985,1.648025198,0.192077316,2.599658101,9.60162792,1.243588805,-5.761245728,1.44E+07,1.67E+05,7.55E+04,8.90E+04,1.01E+05,1.30E+04,8.60E+04,4.18E+04,5.93E+04,1.19E+03,4.28E+04,5.91E+04,1.20E+03,3.83E+04,5.90E+04,1.20E+03
74,8.039294541,1.509556334,0.341384865,2.61185176,10.81008707,1.254423857,-3.99654007,6.97E+06,1.49E+05,6.10E+04,5.74E+04,6.97E+04,8.42E+03,5.69E+04,3.42E+04,5.77E+04,8.43E+02,3.44E+04,5.80E+04,8.52E+02,3.44E+04,5.77E+04,8.53E+02
75,15.15430405,1.962771235,0.020726732,3.669134396,11.33660764,1.266870141,-2.231834412,1.50E+07,1.77E+05,1.01E+05,9.84E+04,1.09E+05,1.34E+04,9.51E+04,3.75E+04,6.11E+04,8.67E+02,3.87E+04,6.14E+04,8.45E+02,4.19E+04,6.08E+04,8.76E+02
76,6.587234904,1.229309581,-0.037293674,3.395764958,14.27591916,1.282697558,-0.4671278,4.31E+06,1.31E+05,4.33E+04,4.56E+04,5.00E+04,5.69E+03,4.48E+04,2.04E+04,5.40E+04,6.61E+02,1.97E+04,5.41E+04,6.56E+02,1.98E+04,5.40E+04,6.58E+02
77,12.83818622,2.10909719,0.121683565,1.609877182,4.83112427,1.308561921,1.297578812,1.50E+07,2.36E+05,1.11E+05,1.15E+05,1.24E+05,1.67E+04,1.11E+05,4.70E+04,6.17E+04,1.09E+03,4.83E+04,6.15E+04,1.11E+03,4.73E+04,6.14E+04,1.09E+03
78,9.494133819,1.429073011,0.143343383,1.819489284,6.352629313,1.134728074,3.06228447,9.93E+06,1.35E+05,5.34E+04,6.74E+04,6.78E+04,1.08E+04,6.53E+04,2.89E+04,5.75E+04,9.88E+02,2.99E+04,5.71E+04,9.79E+02,3.01E+04,5.72E+04,9.91E+02
79,19.19968913,2.619126288,0.220506307,3.144851952,7.055050805,1.164313674,4.826990128,1.50E+07,2.25E+05,1.86E+05,1.20E+05,1.31E+05,1.78E+04,1.15E+05,6.12E+04,6.22E+04,8.75E+02,5.63E+04,6.21E+04,8.68E+02,5.80E+04,6.24E+04,8.75E+02
80,4.585496976,1.53027373,-0.285908859,1.992029732,8.428424519,1.180985212,6.591697693,1.62E+06,1.80E+05,4.97E+04,6.19E+04,6.84E+04,6.87E+03,6.09E+04,2.86E+04,5.38E+04,5.09E+02,2.82E+04,5.39E+04,5.08E+02,2.84E+04,5.38E+04,5.14E+02
81,10.64470375,1.198090972,0.060841369,2.919067704,8.935074089,1.193793654,8.356403351,1.36E+07,1.17E+05,5.20E+04,6.42E+04,6.20E+04,9.85E+03,6.21E+04,2.20E+04,5.73E+04,1.10E+03,2.40E+04,5.72E+04,1.11E+03,2.24E+04,5.73E+04,1.10E+03
82,7.679786348,1.245764055,0.079629928,3.000067953,9.969816445,1.204812169,10.12110901,5.95E+06,1.15E+05,4.70E+04,4.49E+04,4.99E+04,5.75E+03,4.39E+04,2.05E+04,5.59E+04,7.78E+02,2.04E+04,5.54E+04,7.59E+02,2.00E+04,5.58E+04,7.82E+02
83,14.49472661,2.132553844,0.176504026,4.231139558,10.57540208,1.214920521,11.88581467,1.50E+07,1.95E+05,1.28E+05,1.10E+05,1.09E+05,1.53E+04,1.06E+05,4.36E+04,6.01E+04,9.65E+02,4.83E+04,6.07E+04,9.51E+02,4.53E+04,6.05E+04,9.75E+02
84,6.212336396,0.959359571,0.249555774,1.115740035,8.229254586,1.224629164,13.65052032,3.14E+06,1.03E+05,3.95E+04,3.79E+04,3.83E+04,4.88E+03,3.73E+04,1.90E+04,5.46E+04,5.48E+02,1.92E+04,5.46E+04,5.46E+02,1.87E+04,5.45E+04,5.50E+02
85,12.35775432,1.79420079,0.031370821,2.155568496,9.162006458,1.234323859,-14.48096848,1.50E+07,1.84E+05,8.68E+04,9.01E+04,1.00E+05,1.29E+04,8.74E+04,3.68E+04,5.92E+04,1.13E+03,3.69E+04,5.86E+04,1.13E+03,3.63E+04,5.90E+04,1.11E+03
86,9.12503694,1.636007307,0.050358614,2.182646395,10.74266067,1.244385958,-12.71626282,9.00E+06,1.41E+05,5.21E+04,7.30E+04,7.84E+04,1.01E+04,7.14E+04,2.68E+04,5.63E+04,9.81E+02,3.37E+04,5.60E+04,9.70E+02,2.79E+04,5.62E+04,9.70E+02
